quoted_at,zone_band,outward_code,representative_postcode,address1,destination_label,service_window,pickup_after,deliver_before,requested_vehicle,requested_vehicle_type,quote_status,http_status,price_net,price_gross,returned_vehicle_type,pickup_eta,delivery_eta,min_realistic_time,error
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,three_hour_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:08:47+01:00,33,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,three_hour_9_12,2026-05-05T09:00:00+01:00,2026-05-05T12:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:09:45+01:00,38,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,three_hour_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:08:47+01:00,33,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,three_hour_12_15,2026-05-05T12:00:00+01:00,2026-05-05T15:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:09:45+01:00,38,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,three_hour_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,pushbike,10,ok,200,7.12 GBP,8.54 GBP,10,2026-05-05T15:00:00+01:00,2026-05-05T15:08:47+01:00,33,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,three_hour_15_18,2026-05-05T15:00:00+01:00,2026-05-05T18:00:00+01:00,motorcycle,20,ok,200,7.46 GBP,8.95 GBP,20,2026-05-05T15:00:00+01:00,2026-05-05T15:09:45+01:00,38,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,two_hour_9_11,2026-05-05T09:00:00+01:00,2026-05-05T11:00:00+01:00,pushbike,10,ok,200,8.12 GBP,9.74 GBP,10,2026-05-05T09:00:00+01:00,2026-05-05T09:08:47+01:00,33,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,two_hour_9_11,2026-05-05T09:00:00+01:00,2026-05-05T11:00:00+01:00,motorcycle,20,ok,200,9.99 GBP,11.99 GBP,20,2026-05-05T09:00:00+01:00,2026-05-05T09:09:45+01:00,38,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,two_hour_12_14,2026-05-05T12:00:00+01:00,2026-05-05T14:00:00+01:00,pushbike,10,ok,200,8.12 GBP,9.74 GBP,10,2026-05-05T12:00:00+01:00,2026-05-05T12:08:47+01:00,33,
2026-05-05T05:07:10+00:00,zone1,W1B,W1B 2EL,235 Regent Street,Apple Regent Street,two_hour_12_14,2026-05-05T12:00:00+01:00,2026-05-05T14:00:00+01:00,motorcycle,20,ok,200,9.99 GBP,11.99 GBP,20,2026-05-05T12:00:00+01:00,2026-05-05T12:09:45+01:00,38,
